"Bombay",,"BM219","72,8000","19,0000",,"N",,"INDIA",,,,"IN","IN","IND","356"
"Boolathana",,"BO42N","113,6000","-24,6000",,"N",,,,,,"AU","AS","AUS","036"
"Boston",,"56J43","-71,2000","42,4000",,"N",,"USA","US",,"National Geophysical Data Center","US","US","USA","840"
"Boulder",101,"BC840","-105,2697","39,9918",1655,"Y",,"USA","US",,,"US","US","USA","840"
"Bribie Island",,"BQ53P","153,0000","-27,3000",,"N",,,,,,"AU","AS","AUS","036"
"Brisbane",25,"BR52P","152,9000","-27,5000",,"Y",,"AUSTRALIA",,,,"AU","AS","AUS","036"
"Budapest",,"BU147","19,0000","47,4000",,"N",,"HUNGARY",,,,"HU","HU","HUN","348"
"Buenos Aires",,"BAJ3M","-58,5000","-34,5000",,"N",,"ARGENTINA",,"LIARA",,"AR","AR","ARG","032"
"Bunia",,"BN102","30,2000","1,5000",,"N",,"CONGO",,,,"CD","CG","COD","180"
"Burghead",,"6063","3,5000","57,7000",,"N",,,,,,"NO","NO","NOR","578"
"Byrd Station",,"BD88_","-120,0000","-80,0000",,"N",,"USA",,,,"AQ","AY","ATA","010"
"Cachoeira Paulis",,"CAJ2M","-45,8000","-23,2000",,"N",,,,,,"BR","BR","BRA","076"
"Cairo",,"05130","31,2000","30,0000",,"N",,,,,,"EG","EG","EGY","818"
"Calcutta",,"CU322","88,6000","23,0000",,"N",,"INDIA",,"HARINGHATA",,"IN","IN","IND","356"
"Camden",27,"CN53L","150,7000","-34,0000",,"N",,"AUSTRALIA",,,,"AU","AS","AUS","036"
"Campbell Is",,"CI65K","169,2000","-52,5000",,"N",,"NEW ZEALAND",,,,"NZ","NZ","NZL","554"
"Canberra",26,"CB53N","149,0000","-35,3000",,"Y",,"AUSTRALIA",,"MOUNT STRONLO",,"AU","AS","AUS","036"
"Cape Hallett",,"HT67K","170,3000","-72,3000",,"N",,"NEW ZEALAND",,,,"AQ","AY","ATA","010"
"Cape Kennedy",,"CC929","-80,6000","28,4000",,"N",,"USA",,"CAPE CANAVERAL",,"US","US","USA","840"
"Cape Parry",,"CF870","-125,6000","70,2000",,"N",,,,,,"CA","CA","CAN","124"
"Cape Schmidt",,"CE669","179,5000","68,8000",,"N",,"USSR",,,,"RU","RS","RUS","643"
"Cape York",,"0751J","142,4000","-11,0000",,"N",,,,,,"AU","AS","AUS","036"
"Cape Zevgari",,"CV135","32,9000","34,6000",,"N",,"CYPRUS",,"AKROTIRI"," CYPRUS","CY","CY","CYP","196"
"Capetown",,"CT13M","18,3000","-34,1000",,"N",,"SOUTH AFRICA",,,,"ZA","SF","ZAF","710"
